Nombre,Resumen,Tipo de entidad,Categorías,Dirección (calle y nº),Dirección (resto),C.P.,Población,Provincia,Zona,Latitud,Longitud,Teléfono 1,Teléfono 2,Fax,Correo electrónico 1,Correo electrónico 2,Web 1,Web 2,Año de creación,Forma jurídica,Descripción general,Objetivo como entidad,Finanzas,Valores sociales y medioambientales,Forma de acceso,Redes de las que forma parte,Otras entidades con las que colabora,Proyectos en marcha,Necesidades,Ofrecimientos,Información adicional,Fecha última actualización
Banco de Tiempo de Butroi Bizirik en Transición- en Denbora Bankua,Darns de ata como: Banco de Tiempo de Butroi Bizirik en Transición- en Denbora Bankua,Asociación,Banco de tiempo - Comunitario,"Ibaigane Kalea, 10",,48100,Mungia,Bizkaia,Uribe-Butroi,43.3553721,-2.8495817,94-6020636,,,bbteimpo@gmail.com,butroientransicion@gmail.com,http://www.butroientransicion.org/,,2012,,"Butroi Bizirik en Transición (BBT) es un movimiento de Transición*  en Uribe Butroi, abierto, comunitario y local, en continuo cambio y aprendizaje, que trabaja para la transformación personal y social orientada hacia el bien común y la soberanía tanto alimentaria, energética, tecnológica, como económica, en donde todas estas se desarrollen en armonía con la naturaleza. 
Deseamos recuperar la economía con formas de vida local, ética, justa, solidaria y ecológica. Queremos que lo que es deseable social y medioambientalmente sea viable económicamente.
*Transición: Es un movimiento de carácter mundial https://www.transitionnetwork.org/ 
",,,,,,,,,,,2015-02-24 11:58:12
Banco de Tiempo de Huelva Capital,,Centro de estudios,Banco de tiempo - Municipal,"Plaza Juan Ramón Jiménez, Campus del Carmen","Edif. Humanidades, despacho 8 planta baja.",21071,Huelva,Huelva,,None,None,959219187,,,bthuelva@gmail.com,,http://www.bthuelva.es/,,2013,,El primer banco de tiempo en España que ofrece servicios e investigación. ,,,,,,,,,,,2014-01-28 09:51:36
Banco de Tiempo de Huelva Capital,,Asociación,Banco de tiempo - Municipal,"Universidad de Huelva, Plaza Juan Ramón Jiménez, Edif. Humanidades, Despacho 08 (planta baja)",Campus del Carmen,21081,Huelva,Huelva,Distrito Los Rosales. Universidad de Huelva.,37.261421,-6.9447224,959219187,,,bthuelva@gmail.com,,http://www.bthuelva.es/,,2013,,,,,,,,,,,,,2014-10-07 16:57:49
Banco de Tiempo de La Alhóndiga,Ven a compartir tu tiempo. Otro mundo es posible!,Otros,Banco de tiempo - Comunitario,Calle Hernán Cortés 13,,28904,Getafe,Madrid,,40.3089592,-3.7375294,654822802,606957322,,bancodetiempo.alhondiga@gmail.com,redapoyosolidario.alhondiga@gmail.com,,,2013,,"El Banco de Tiempo de La Alhóndiga, en Getafe, es un espacio de intercambio en el que no existe el dinero y cabe todo lo que se necesite y todo lo que se puede ofrecer. No existe ánimo de lucro ya que la unidad de cambio es el tiempo. 
El objetivo es proporcionar una infraestructura básica para el intercambio de conocimiento y tiempo de actividad entre las y los vecinos.  Se trata de crear una red comunitaria en el barrio que, bajo los principios de la ayuda mutua y solidaridad, resuelva los problemas concretos de la vida cotidiana. Esta iniciativa es parte de la Red de Apoyo Solidario del barrio.",,,,,,,,,,,2013-10-15 17:51:13
Banco de Tiempo de Lanzarote,Banco de Tiempo Lanzarote - Red de intercambio ,Red,Banco de tiempo - Comunitario,"Calle Figueroa 20, Arrecife de Lanzarote ",,35500,Arrecife,Las Palmas,Canarias,28.9601802,-13.5512413,609 237 836,,,bancodetiempolanzarote@gmail.com,,http://www.bancodetiempolanzarote.org/,,2013,,,,,,,,,,,,,2013-11-12 12:08:41
Banco de tiempo de Llanes,,Asociación,Banco de tiempo - Comunitario,,Casa Rectoral,33594,Posada de Llanes,Asturias,,43.4230708,-4.8638653,675833315,985407038,,,,http://bancodetiempodellanes.blogspot.com.es/,https://www.facebook.com/bancodetiempodellanes,2013,,,,,,,,,,,,,2014-06-06 07:20:34
Banco de tiempo de Llanes,,Grupo/colectivo,Banco de tiempo - Comunitario,"Casa Rectoral - Centro Juvenil ""El Patiu""",,33594,Posada de Llanes (Llanes),Asturias,,None,None,985407038,675833315,,bancodetiempollanes@gmail.com,carruhe@hotmail.com,http://bancodetiempodellanes.blogspot.com.es/,,2013,,,,,,,,,,,,,2013-12-04 09:21:12
Banco de Tiempo de Monzón,,Otros,Banco de tiempo - Municipal,"Plaza Mayor, 4",,22400,Monzón,Huesca,Aragon,41.910798,0.1920456,974403009,671825120,974404807,,,,,2011,,Este Banco de Tiempo nació en 2011 con el objetivo de integrar a la población inmigrante y actualmente aspira a ser una red de contactos que genere capital humano y nos acerque cada día un poquito más a nuestros/as vecinos/as.,,,,,,,,,,,2015-01-20 15:10:41
Banco de Tiempo de Torreblanca,,Asociación,Banco de tiempo - Comunitario,san jaime 10,,12596,torreblanca,castellon,,40.2204433,0.1959207,964420379,,,bdttorreblanca@outlook.com,,http://bancodetiempodetorreblanca.blogspot.com.es/,,2013,,,,,,,,,,,,,2013-11-22 10:06:42
Banco de Tiempo de Triana,,Asamblea,Banco de tiempo - Comunitario,"Centro Cívico Las Columnas, en la calle  Pureza, 79.",,,Sevilla,Sevilla,,37.3831423,-6.0002632,,,,bancodeltiempotriana@gmail.com,,http://bancodeltiempotriana.blogspot.com.es/,,None,,Banco de Tiempo surgido a partir del 15M,,,,,,,,,,,2015-07-23 14:44:42
Banco de Tiempo El Dam de Ahesat,,Asociación,Banco de tiempo - Municipal,,,43820,Calafell,Tarragona,Baix Penedés,41.1938386,1.5664556,686265212,,,dam.ahesat.org@gmail.com,ahesat@gmail.com,http://www.eldamdeahesat.blogspot.com/,http://www.ahesat.blogspot.com/,2014,,,,,,,,,,,,,2014-10-28 13:18:39
Banco de Tiempo La Roca Del Valles,,Grupo/colectivo,Banco de tiempo - Comunitario,c/Espronceda ,Nº 65 piso3º puerta 5ª,08430,La Roca Del Valles,Barcelona,,41.5865477,2.3265984,647470738,,,olgaperez1973@hotmail.com,,,,2013,,"Un banco de tiempo es un sistema de intercambio de servicios por tiempo. 
En el Banco del Tiempo la unidad de intercambio no es el dinero habitual sino una medida de tiempo, en nuestro caso el trabajo por hora. 
Es un sistema de intercambio de servicios por servicios. Propone la ventaja de fomentar las relaciones sociales y la igualdad entre distintos estratos económicos. 
En él el tiempo de cada participante se valora por igual, ya sea que él/ella es un principiante o un experto ampliamente capacitado y es además una herramienta para revitalizar la vida de la comunidad.
La salud de las comunidades depende de la creencia de que las acciones del presente tienen gran significado para el futuro. La más efectiva y eficiente forma de construir capital social es generando reciprocidad de un modo más amplio. De este modo, la confianza y los compromisos cívicos se reproducen automáticamente.
Ejercicio físico 
•	Clases (gimnasia, baile, taichi, fútbol) 
•	Entretenimiento o monitorización (partidos de fútbol, ir a correr…)
•	Arbitraje de partidos
Ocio 
•	Preparación de fiestas 
•	Interpretación en eventos o fiestas 
•	Juegos de mesa 
•	Danzas
•	Capoeira
•	Paseos en bici
•	Excursiones al monte
•	Malabares
Idiomas 
•	Clases de idiomas 
•	Conversación en idiomas 
•	Traducciones 
•	Interprete de idiomas 
Informática 
•	Clases de informática 
•	Instalar software 
•	Reparación y montaje de ordenadores 
•	Pasar textos a ordenador 
•	Montajes fotográficos o videos 
Belleza 
•	Maquillaje 
•	Peluquería 
Bricolaje 
•	Asesoramiento sobre ahorro de energía 
•	Reparaciones de bicis, motos, coches 
Arte 
•	Asesoramiento sobre decoración 
•	Teatro 
•	Pintura y dibujo 
•	Costura 
Cocina 
•	Clases de cocina (tradicional, vegetariana, étnica...) 
•	Asesoramiento sobre menús y preparación de recetas 
•	Elaboración de comidas (pan, tartas, mermeladas, conservas) 
•	Elaboración de comidas para cumpleaños y fiestas 
Asesoría y orientación 
•	Asesoramiento para preparación de eventos 
•	Asesoramiento en viajes (vacaciones, estudios, negocios...) 
•	Asesoramiento para redactar el curriculum vitae 
•	Asesoramiento legal 
•	Mediación en conflictos 
•	Asesoramiento y orientación sobre recursos sociales existentes en La Roca Del Valles
Atención a personas 
•	Lecturas, cuentacuentos 
•	Hacer recados 
•	Apoyo en mudanzas 
•	Escuchar
Banco del Tiempo de La Roca Del Valles 

Responsabilidad: 
EL Banco del Tiempo de La Roca Del Valles solo refiere los usuarios que dicen poder ofrecer un servicio. EL Banco del Tiempo de La Roca  no puede asegurar el rendimiento de ninguno de los usuarios del Banco del Tiempo por lo que nunca será el Banco del Tiempo de La Roca  responsable por ninguna lesión o daño a la propiedad experimentados durante las transacciones.
EL Banco del Tiempo de La Roca ofrece en su herramienta informática formas de conocer las experiencias que todos los usuarios han tenido mientras ofrecían servicios a otros usuarios del banco del tiempo.  

Limitaciones: 
Los servicios no están garantizados y puede haber situaciones cuando un proveedor de un servicio no llena las expectativas del que lo recibe. Pedimos la apreciación del esfuerzo que cada uno pone y esto es lo que hace que el Banco del Tiempo funcione.
Si hubiera un problema real con el servicio recibido el Banco del Tiempo de La Roca ofrece en su herramienta informática formas de conocer las experiencias que todos los usuarios han tenido mientras ofrecían servicios a otros usuarios del banco del tiempo. El Banco de Tiempo de La Roca  mediará dentro de sus capacidades en los conflictos entre usuarios que no se hayan podido arreglar y sus decisiones siempre serán finales y sin posibilidad de apelación. Si hubiera acciones irregulares el Banco del Tiempo de La Roca  podrá sancionar a los usuarios, desde obligarles a devolver el crédito obtenido hasta la expulsión del sistema. 

 Confidencialidad y privacidad: 
Uno de los criterios en los que se basa el Banco de Tiempo es en la confianza mutua. Todos los usuarios deben proteger la privacidad y confidencialidad de los otros usuarios. Un usuario puede llegar a ser expulsado de la comunidad por este motivo. La única excepción para compartir información es cuando un usuario sienta que la salud o seguridad de otro usuario está en peligro. 

 QUE HACER CUANDO QUIERE RECIBIR UN SERVICIO 
Para poder dar o recibir un servicio tiene que estar registrado en el Banco de Tiempo de La Roca y haber pasado un proceso de verificación.
Póngase en contacto con el Banco de Tiempo tan pronto como le sea posible y acuerde un lugar fecha para recibir el servicio seleccionado. Si deja un mensaje y el usuario no responde en unos días inténtelo de nuevo y si aún no lo logra contacte con el administrador. Olga Pérez Alcaide tel:647470738

QUE HACER Y QUE NO HACER 

Que hacer:   
- Asegúrese de que la otra persona entiende lo que va  hacer antes de que empiece a hacerlo 
- Contacte con el usuario por adelantado si no puede llegar a tiempo a ofrecer el servicio o si debe cancelarlo. 
- El recibidor del servicio se compromete a realizar el pago estipulado lo antes posible 
- Sea paciente y abierto más que crítico. Estamos para compartir y el hecho de aprender a conocernos ya es mucho. 
- Respete los demás, ya sea por religión creencias o pertenencia política. 
- Si solicita un servicio asegúrese de pagar por todos los materiales, partes o ingredientes necesarios. 

Que no hacer: 
- No fume en el lugar de otros usuarios sin su consentimiento. 
- Nunca acepte dinero ni propinas. 
- No use alcohol ni drogas mientras ofrece los servicios. (En el caso de ocurrir, será razón para la expulsión automática) 
- No compre alcohol ni tabaco a otros usuarios. 
  
Banco del Tiempo de La Roca Del Valles

",,,,,,,,,,,2013-12-19 11:22:42
Banco de Tiempo y Comunidad del Trueque Pachuca,,Grupo/colectivo,Red de trueque - Todos,Agustin Navarro Cardona 308,Colonia doctores ,42184,pachuca de soto,pachua,hidalgo,20.113023,-98.7290053,107-19-36,,,bancodetiempopachuca@gmail.com,,,,2013,,,,,,,,,,,,,2014-01-28 09:47:19
Banco del tiempo Calpe,,Grupo/colectivo,Banco de tiempo - Comunitario,C/Blasco ibañez nº4 ,,03710,Calpe,Alicante,,38.6436469,0.0456876000001,630349739,,,bancodetiempocalpe@gmail.com,,,,2014,,,,,,,,,,,,,2015-01-29 11:34:48
Banco del Tiempo Ciudad Jardín,,Asociación,Banco de tiempo - Municipal,C/ Monda 21,,29014,Málaga,Málaga,,36.7403102,-4.4204944,,,,,,,,None,,,,,,,,,,,,,2014-01-13 09:04:07
Banco del Tiempo de Alcosa,,Asamblea,Banco de tiempo - Comunitario,"Calle Pintor Alfonso Grosso, s/n.",Centro Civico Parque Alcosa,41019,Sevilla,Sevilla,,37.411826,-5.9236711,627438035,,,contacto@btalcosa.com,,http://btalcosa.com/,,2013,,,,,,,,,,,,,2013-07-02 09:21:12
Banco del Tiempo de Altea,,Asamblea,Banco de tiempo - Comunitario,,,03590,Altea,Alicante,,38.6021629,-0.0476697,659 75 11 51,,,bancodeltiempoaltea@gmail.com,silviagranda@hotmail.com,,,2013,,,,,,,,,,,,,2013-10-15 17:45:06
Banco del Tiempo de Cabra ,Banco del Tiempo de Cabra: ofrece lo que puedas y recibe lo que necesitas.,Centro social,Banco de tiempo - Municipal,C/ Priego nº 28 ,,14940,Cabra,Córdoba,Pueblo,37.4701782,-4.4423885,957524710,902002785,957523547,bancodeltiempocabra@gmail.com,lydia.aguilera@grupoineprodes.com,,http://bancodeltiempocabra.blogspot.com.es/,2013,,"El Banco del Tiempo de Cabra es un servicio municipal gratuito y sin ánimo de lucro. Dependiente del Patronato Municipal de Bienestar Social del Ilmo. Ayuntamiento de Cabra y gestionado en colaboración con la Fundación Grupo INEPRODES.
Todas las personas tienen valor y mucho que ofrecer, por ello todos/as podemos participar, lo importante es poder ofrecer algo de tiempo libre.
 ",,,,,,,,,,,2014-04-08 09:02:17
Banco del Tiempo de Elche,,Grupo/colectivo,Banco de tiempo - Municipal,C/Animes nº1,,03202,Elche,Alicante,Ciudad,38.26629,-0.6985787,966 65 92 21,,,bdtelche@ayto-elche.es,bdtelche@ayto-elche.es,http://www.elche.es/micrositios/accion-social-/info/1990/banco-del-tiempo/,,2013,,"El Servicio BANCO DEL TIEMPO (BdT) es un servicio gratuito que gestiona el Ayuntamiento de Elche y que promueve, dentro del municipio, el intercambio de tiempo de servicios y/o actividades entre ciudadanos, tanto a nivel individual como grupal, que se hayan inscrito como socios.",,,,,,,,,,,2014-11-12 21:14:49
Banco del Tiempo de Fuente el Fresno,,Centro social,Banco de tiempo - Municipal,"Real, 57",,13680,Fuente el Fresno,Ciudad Real,Ciudad Real,39.2283154,-3.7767369,926804559,666080805,,bancodeltiempoffresno@gmail.com,,https://www.facebook.com/bancodeltiempo.defuenteelfresno?fref=ts,,2013,,"CENTRO SOCIAL DE FUENTE EL FRESNO: todos los días de 11:00 a 13:00 donde organizaremos y coordinaremos vuestras ofertas y demandas.
¡Ven a por tus créditos de tiempo!
Cuanto mayor crédito de tiempo circule y cuanta más gente comparta su tiempo y sus talentos entre ellos más rica se convertirá la comunidad.",,,,,,,,,,,2014-03-05 10:50:42
Banco del Tiempo de Las Rozas,,Otros,Banco de tiempo - Municipal,"C/ Comunidad de la Rioja, 2",Centro Municipal El Abajón,28230,Las Rozas de Madrid,Madrid,Noroeste,40.4912137,-3.8815673,,,,bancodeltiempo@lasrozas.es,,,,2012,,,,,,,,,,,,,2014-02-01 09:38:29
Banco del Tiempo de Toledo (Asociación La Clave Social Castilla-La Mancha),,Asociación,Banco de tiempo - Municipal,"C/ Ciudadado 7, 1º pl.",,45006,Toledo,Toledo,,39.8612181,-4.0026237,,603 84 64 61,,laclavesocial@gmail.com,,,,2014,,"El Banco del Tiempo de Toledo es un sistema gratuito de intercambio de tiempo entre hombres y mujeres, donde se pueden compartir:
- Conocimientos
- Habilidades
- Experiencias

La moneda de pago es el tiempo que tarda cada persona en realizar el servicio.

Todos los intercambios tienen el mismo valor.

Pueden participar todas las personas que deseen intercambiar tareas, aprender nuevos conocimientos, aprender aficiones y conocer gente nueva.

Las actividades se puedes realizar de manera grupal o individual.
",,,,,,,,,,,2014-11-20 19:12:40
Banco del Tiempo del Valle de Egüés,,Otros,Banco de tiempo - Municipal,C/Urbasa 129, Sarriguren,31621,Sarriguren,Navarra,Valle de Egüés,42.8108214,-1.5880268,948165651,,,,,,,2011,,,,,,,,,,,,,2014-03-05 10:51:53
Banco del Tiempo Dharma,"Bando del Tiempo Dharma, donde la utopía se hace realidad.",Asociación,Banco de tiempo - Municipal,C/ La Perdiu 1,,08184,Palau-Solità i Plegamans,Barcelona,Palau-Solità i Plegamans,41.6017833,2.1852593,938644228,,,nuevatierraassoc@yahoo.es,,http://www.nuevatierra.org/bdt,http://www.nuevatierra.org/,2014,,,,,,,,,,,,,2014-01-28 09:49:14
Banco del Tiempo Entrevecinos de Valencia,,Asociación,Banco de tiempo - Comunitario,"Avenida Doctor Tomás Sala, nº 47 bajo  46017-Valencia",,46017,Valencia,Valencia,Valencia,39.4475104,-0.3866238,655253502,963 10 71 24,,franbancotiempoentrevecinos@gmail.com,amigotesdelbancodeltiempo@gmail.com,http://bdte.hol.es/,,2013,,"Banco del tiempo ""entrevecinos""

La inscripcion la realizó uno de los socios,yo como adminstrador solamente corrijo algunos de los datos que estan erroneos o incompletos.
Es un banco del tiempo que no pertenece al ayuntamiento sino esta integrado en un proyecto solidario  de la Confederación de Asociaciones de la Comunidad de Valencia(CAVECOVA).
Saludos
Elías Sánchez",,,,,,,,,,,2014-10-29 16:57:40
Banco del Tiempo Fuengirola Mijas,,Asociación,Banco de tiempo - Comunitario,"Calle Rio Lanjaron, numero 14",Teteria Las Mil y Una Noches,29651,Mijas,Malaga,Fuengirola y Mijas,36.5425472,-4.6371238,637526119,,,raquelmelgargarcia@gmail.com,,,,2013,,tenemos un blog: bdtfuengirola.wordpress.com,,,,,,,,,,,2013-10-15 17:55:10
Banco Del Tiempo Lebrija,,Otros,Banco de tiempo - Municipal,"Barriada Blas Infante, s/n.",Centro Cívico Blas Infante,41740,Lebrija,Sevilla,,36.9246665,-6.083178,,,,bancodeltimpolebrija@gmail.com,,,,2013,,En el Banco Del Tiempo Lebrija es una comunidad donde puedes intercambiar servicios con otros usuarios de la localidad usando el tiempo como moneda de cambio,,,,,,,,,,,2014-02-12 07:42:05
Banco del Tiempo municipal de Leganés,,Otros,Banco de tiempo - Municipal,"C/ Del Charco ,23",1ª planta,28911,LEGANES,Madrid,,40.3288472,-3.7686115,650936493,650936493,,,,http://www.bancodeltiempoleganes.org/,,2013,,"Banco del Tiempo municipal de Leganés, actualmente gestionado por la asociación Aibe Balcan",,,,,,,,,,,2015-04-20 19:20:11
Banco del Tiempo Nervión - San Pablo - Santa Justa,TIEMPO PARA DAR; TIEMPO PARA RECIBIR,Centro social,Banco de tiempo - Municipal,"Avenida Pedro Romero, s/n",,41007,Sevilla,Sevilla,,None,None,955473126,609904728,,bdtnervionsanpablo@sevilla.org,,,,2010,,"Además de los intercambios, el Banco del Tiempo Nervión - San Pablo - Santa Justa realiza actividades a nivel grupal, como reuniones de confianza, salidas de ocio y tiempo libre, desayunos y meriendas colectivas, Mercadillos del trueque, ...

Para más información, este es nuestro vídeo promocional
http://www.youtube.com/watch?v=x9SpiEaEPcU",,,,,,,,,,,2014-03-31 09:35:33
Banco del Tiempo UPO,,Centro de estudios,Banco de tiempo - Comunitario,Carretera de Utrera Km.1,"Edificio Celestino Mutis, planta sótano despacho 4",41013,Sevilla,Sevilla,,37.3562108,-5.9498767,954977542,,,bancodeltiempo@upo.es,mjmolram@acu.upo.es,http://www.upo.es/upsc/Banco_del_Tiempo/index.jsp,,2015,,"La creación del Banco de Tiempo de la UPO fue propuesta por un grupo de estudiantes y profesores en la fase participativa del Plan Estratégico 2014-2016 de esta universidad. Fue una de las propuestas que surgió por parte de la comunidad universitaria que tuvo más apoyos y queda plasmada en la línea estratégica “Fortalecer nuestra política de participación social”. El Vicerrectorado de Estudiantes, Cultura y Compromiso Social retomó esta idea y desde la Unidad de Cultura y Participación Social lo hemos puesto en marcha con el asesoramiento de la Asociación El Enjambre sin Reina. Después de meses de trabajo, lo presentamos el pasado mes de febrero.",,,,,,,,,,,2015-06-08 19:18:57
Banco del Tiempo Xabia,Xabia (Javea) Alicante,Asociación,Banco de tiempo - Comunitario,"C/ Rafael Echagüe, 3 ",,03730,Javea,Alicante,Pueblo,38.7895181,0.1593309,660862922,96 579 41 42,,bancodeltiempoxabia@gmail.com,ambendana@gmail.com,,,2011,,"somos un grupo de adultos que nos reunimos en el centro social, donde nos hay ayudado con todo incluso nos dejan una oficina para atención de público.",,,,,,,,,,,2014-02-17 22:29:41
"Banco del Tiempo, Valdemorillo",,Espacio de ocio,Banco de tiempo - Municipal,Valdemorillo,Casa de la Juventud,28210,Valdemorillo,Madrid,Sierra nort-oeste,40.4991765,-4.067629,,,,,,,,2013,,,,,,,,,,,,,2014-05-19 22:52:45
Banco do Tempo Vigo,,Grupo/colectivo,Banco de tiempo - Municipal,,OFICINAS MUNICIPAIS DE DISTRTITO CONCELLO DE VIGO,,Vigo,Pontevedra,,42.2405989,-8.7207268,600936491,,,,,http://vigo.bancodotempo.es/,,None,,"vigo.bancodotempo.es
www.facebook.com/bancodotempovigo
twitter.com/bdtVigo
",,,,,,,,,,,2014-03-05 10:50:51
Banco Solidario de Les Corts,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Riera Blanca, 1-3 - Centre cultural Riera Blanca",,8028,Barcelona,Barcelona,,41.371042,2.1286069,934 480 238,,,bancsolidari@hotmail.com,,,,None,,,,,,,,,,,,,2013-11-28 10:45:03
Banco Solidario Eixample,,Grupo/colectivo,Banco de tiempo - Municipal,"Av. Roma, 139, bxs.",,8011,Barcelona,Barcelona,,41.386353,2.1561417,934 532 879,,,avvee@suport.org,,,,None,,,,,,,,,,,,,2013-06-07 19:41:13
banco tiempo cornella,,Grupo/colectivo,Banco de tiempo - Comunitario,,,,,,,41.3573827,2.0707159,,,,btcornella@gmail.com,,,,None,,,,,,,,,,,,,2014-05-20 21:44:32
Bannco de Tiempo de Majadahonda,"Asociación que promueve el intercambio de servicios y habilidades entre vecinos de Majadahonda, siendo su moneda el Tiempo en horas.",Grupo/colectivo,Banco de tiempo - Comunitario,--,--,28220,Majadahonda,Madrid,Noroeste de Madrid,40.4731888,-3.8808034,,,,bdt.majadahonda@gmail.com,,https://www.facebook.com/bancotiempomajadahonda,http://bancodetiempomajadahonda.blogspot.com.es/,2013,,"El Banco de tiempo de Majadahonda proporciona a sus socios un medio para ofrecer y demandar todo tipo de servicios y habilidades sin ánimo de lucro y de carácter no profesional entre vecinos de la localidad. 

Estas actividades se miden en tiempo (horas) , y la organización mantiene registro en forma de saldo de las horas recibidas y realizadas, para mantener el principio de equidad y reciprocidad necesario. 

Cada socio recibe un capital inicial de tiempo que le permite demandar servicios desde el primer momento y a su vez ofrece lo que cree posible y oportuno. Para ayudar en la definición de esta oferta existe un formulario con un gran abanico de opciones, y pueden conocerse las habilidades y servicios ofertados por los demás socios para sugerir ideas a cada uno de qué ofrecer y demandar. 

El Banco de Tiempo guarda registro de las ofertas y recibe las demandas de servicios . Éstas son comunicadas a los socios cuyo perfil les permitiría atenderlas , y éstos, sin compromiso alguno , pueden ofrecerse a cumplimentar las peticiones que consideren. El Banco, entonces, pone en contacto a los socios en cuestión, que acuerdan los detalles y comunican al Banco las horas ofrecidas/consumidas para ajustar los saldos de tiempo de los socios.

El Banco de Tiempo promueve el contacto real entre los socios como herramienta fundamental para establecer la confianza necesaria entre personas, y a ese fin, organiza actividades y reuniones de socios y simpatizantes.

Tanto el ingreso como la permanencia y la baja como socio son gratuitos y absolutamente discrecionales y voluntarios. 

Toda la actividad del Banco de Tiempo tiene por principio la buena fe y la transparencia. Cualquier socio puede colaborar o formar parte de la organización del Banco si lo desea y conocer los detalles de la gestión que estime oportuno.

El soporte técnico de toda esta gestión está en permanente revisión y los medios de comunicación básicos son el correo electrónico y aplicaciones en Internet. Para socios sin fácil acceso a medios informáticos, el teléfono es una alternativa posible, aun sin la flexibilidad y facilidad de éstos.",,,,,,,,,,,2015-06-01 20:38:28
BATITRUJA. Banco de Tiempo y Trueque de Jaén,Red de entidades,Red,Banco de tiempo - Comunitario,"C/ Juan Pedro Guiterrez Higueras, 3",En el apartado descripción vienen todas las direcciones de las secretarías,23005,Jaén,Jaén,Toda la ciudad,37.7775764,-3.7971252,953 267 566,,,bdttjaen@gmail.com,,https://sites.google.com/site/bdtjaen,,2012,,"Datos de contacto:

Sede BATITRUJA Cáritas Interparroquial de Jaén
Dirección: C/ Maestro Bartolomé nº7.
Teléfono: 953 271 570
correo: bdtjaen.caritasinter@gmail.com

Sede BATITRUJA Centro Municipal de Servicios Sociales San Felipe
Dirección: C/ San Felipe nº4.
Teléfono: 953 190 815
correo: bdtjaen.aytosanfelipe@gmail.com

Sede BATITRUJA Centro Municipal de Servicios Sociales La Magdalena
Dirección: C/ Santo Domingo nº10.
Teléfono: 953 235 233
correo: bdtjaen.aytomagdalena@gmail.com

Sede BATITRUJA Centro Municipal de Servicios Sociales Polígono del Valle
Dirección: C/ Ronda del Valle s/n.
Teléfono: 953 259 467 
correo: bdtjaen.aytopvalle@gmail.com

Sede BATITRUJA Centro Municipal de Servicios Sociales Peñamefecit
Dirección: C/ Alicante s/n.
Teléfono: 953 259 461
correo: bdtjaen.aytopenamefecit@gmail.com

Sede BATITRUJA Federación Provincial de Asociaciones de Personas con Discapacidad Física y Orgánica de Jaén FEJIDIF
Dirección: C/ Juan Pedro Gutierrez Higueras nº 3.
           C/ Agustín Ródenas nº 3 (Centro Guadalinfo Peñamefecit
                                    gestionado por FEJIDIF) 
Teléfono: 953 267 566 
          953 222 887 (Centro Guadalinfo Peñamefecit gestionado por 
                       FEJIDIF) 
correo: bdtjaen.fejidif@gmail.com

Sede BATITRUJA Red Provincial de Voluntariado Lienzos
Dirección: C/ Arquitecto Berges nº 34-A.
Teléfono: 600 160 334
correo: bdtjaen.lienzos@gmail.com

Sede BATITRUJA Asociación de Vecinos PASSO - Centro Guadalinfo El Valle
Dirección: C/ Paseo Virgen del Rocío s/n.
Teléfono: 953 252 723
correo: bdtjaen.passo@gmail.com

Sede BATITRUJA Objetivo Vida - Centro Guadalinfo Magdalena
Dirección: C/ Martinez Molina nº9.
Teléfono: 953 241 011
correo: bdtjaen.objetivovida@gmail.com@gmail.com

",,,,,,,,,,,2013-06-13 18:08:02
"BDT Alhaurín de la Torre, Málaga",,Asociación,Banco de tiempo - Comunitario,C/Caldera S/N,"CENTRO DE SERVICIOS SOCIALES COMUNITARIOS, PLANTA BAJA ",29130,Alhaurín de la Torre,Málaga,,36.660677,-4.568914,603 421 747,,,bancodeltiempoalhaurintorre@gmail.com,,,,2012,,"Facebook (Me gusta): Banco del Tiempo Alhaurin de la Torre 

Horario de oficina --> LUNES DE 10:00H A 13:00H
",,,,,,,,,,,2013-12-19 11:47:30
BdT Alta Ribagorza,,Grupo/colectivo,Banco de tiempo - Municipal,Ctra. De Francia,,22440,Benasque,Huesca,,42.6042858,0.5228286,974 551 738 / 678 493 035,,,acabenas@gmail.com,,,,None,,,,,,,,,,,,,2013-06-07 19:41:27
BdT Alto Palancia,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ San Gil, 35",,12470,Navajas,Castellón de la Plana,,39.8769446,-0.5075974,964 132 053 / 627 285 935,,,bdtpalancia@live.com,,,,None,,,,,,,,,,,,,2013-06-07 19:41:47
BdT Ampa CP Eugenio López,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. Bisbe Berenguer de Palou, 6",,07003,Palma De Mallorca,Palma de Mallorca,,39.576281,2.6491207,971 710 019 escola,695 67 44 34 ampa,,bdt.pl.patins@gmail.com,,,,None,,,,,,,,,,,,,2013-11-28 09:58:23
BdT Andreberri - La Peña,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. Iharra, s/n",,48003,Arrigorriaga,Vizcaya,,43.2294405,-2.9225893,944 162 388,,,andre-berri@euskalnet.net,,,,None,,,,,,,,,,,,,2013-06-07 19:42:14
