Nombre,Resumen,Tipo de entidad,Categorías,Dirección (calle y nº),Dirección (resto),Dirección sin cp,C.P.,Dirección,Población,Provincia,Zona,Comunidad autónoma,Barrio,Distrito,Comarca,Ámbito,Latitud,Longitud,Teléfono 1,Teléfono 2,Fax,Correo electrónico 1,Correo electrónico 2,Web 1,Web 2,Año de creación,Forma jurídica,Descripción general,Objetivo como entidad,Finanzas,Valores sociales y medioambientales,Forma de acceso,Redes de las que forma parte,Otras entidades con las que colabora,Proyectos en marcha,Necesidades,Ofrecimientos,Información adicional,Fecha última actualización
Banco de Tiempo Andreberri - La Peña,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. Iharra, s/n",,"Pl. Iharra, s/n ",48003,"Pl. Iharra, s/n 48003",Arrigorriaga,Vizcaya,,País Vasco,,,,,43.2294405,-2.9225893,944 162 388,,,andre-berri@euskalnet.net,,,,,,,,,,,,,,,,,2013-06-07 19:42:14
Banco de Tiempo Área Metropolitna de Tenerife,,Grupo/colectivo,Banco de tiempo - Municipal,"Avda. Trinidad, Bloque 15, bajo izq.",Local de la Fed. Ecologista Ben Magec.,"Local de la Fed. Ecologista Ben Magec. - Avda. Trinidad, Bloque 15, bajo izq.",38204,"Local de la Fed. Ecologista Ben Magec. - Avda. Trinidad, Bloque 15, bajo izq. 38204",La Laguna,Santa Cruz de Tenerife,Área metropolitana y municipios cercanos. ,Canarias,,,,Municipio,28.4702191,-16.2742802, 661 181 235 (Esther),616 629 161 (Cristina),,btiemposctenerife@hotmail.es,,https://communities.cyclos.org/tenerife#home,,2010,,"El Banco del Tiempo del Área Metropolitana de Tenerife, promueve intercambios de servicios y productos, pagados con tiempo, entre usuarios mayores de edad (socios), que estén dados de alta en el sistema. 

Ofrece la oportunidad de que la gente se conozca y confíe en los demás para resolver necesidades de la vida diaria, de esta forma se intenta mejorar la calidad de vida de las personas y dinamizar la vida local.",,,,,,,,,,,2014-04-30 08:07:52
Banco de Tiempo Asociación AKIBA,,Asociación,Banco de tiempo - Municipal,"C/ Manuel Cano, 1",,"C/ Manuel Cano, 1 ",18320,"C/ Manuel Cano, 1 18320",Santa Fe,Granada,,Andalucía,,,,,37.1918657,-3.7093813,958 440 680,,,info@akiba.org.es,,,,,,,,,,,,,,,,,2013-12-04 09:36:01
Banco de Tiempo Asociación Amalgama Social,,Grupo/colectivo,Banco de tiempo - Municipal,C/ Real 59, 1º - Sede NB Psicología,C/ Real 59  1º - Sede NB Psicología,28400,C/ Real 59 1º - Sede NB Psicología 28400,Collado Villalba,Madrid,,Comunidad de Madrid,,,,,40.6315194,-4.0049714,603 804 341,,,info@amalgamasocial.org,,,,,,,,,,,,,,,,,2013-12-04 09:37:35
Banco de Tiempo Asociación Tierra Aurinko,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. Fernando VI, s/n",,"Pl. Fernando VI, s/n ",28830,"Pl. Fernando VI, s/n 28830",San Fernando de Henares,Madrid,,Comunidad de Madrid,,,,,40.4254336,-3.5314076,914 851 407 / 606 204 108,,,tierraurinko@gmail.com,,,,,,,,,,,,,,,,,2013-12-04 09:39:36
Banco de Tiempo Badalona,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Badalona,Barcelona,,Cataluña,,,,,41.4469883,2.2450325,,,,,,,,,,,,,,,,,,,,,2013-06-07 19:43:15
Banco de Tiempo Baja Ribagorza,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Horno, 10 - Casa Luisa",,"C/ Horno, 10 - Casa Luisa ",22439,"C/ Horno, 10 - Casa Luisa 22439",Secastilla,Huesca,,Aragón,,,,,42.1866219,0.2526163,974 551 242 / 630 172 405,,,amerijoe@hotmail.com,antocina3@gmail.com,,,,,,,,,,,,,,,,2013-06-07 19:43:25
Banco de Tiempo Calpe,,Grupo/colectivo,Banco de tiempo - Comunitario,C/Blasco ibañez nº4 ,,C/Blasco ibañez nº4  ,03710,C/Blasco ibañez nº4 03710,Calpe,Alicante,,Comunidad Valenciana,,,,,38.6436469,0.0456876000001,630349739,,,bancodetiempocalpe@gmail.com,,,,2014,,,,,,,,,,,,,2015-01-29 11:34:48
Banco de Tiempo Casco Viejo de Pamplona,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Aldapa, 3-5",,"C/ Aldapa, 3-5 ",31001,"C/ Aldapa, 3-5 31001",Pamplona,Navarra,,Comunidad Foral de Navarra,,,,,42.8194823,-1.6435014,644 443 101,,,bdtpamplona@bdtpamplona.org,,,,,,,,,,,,,,,,,2013-06-07 19:43:44
Banco de Tiempo CEAIN,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Cartuja, 2",1º B,"C/ Cartuja, 2 1º B",11401,"C/ Cartuja, 2 1º B 11401",Jerez De La Frontera,Málaga,,Andalucía,,,,,36.6808368,-6.1299526,956 349 585 / 956 330 926,,,bancodeltiempoceain@acoge.org,,,,,,,,,,,,,,,,,2013-06-09 23:46:31
Banco de Tiempo Centro de mayores mediterráneo,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Picos, s/n",,"C/ Picos, s/n ",04004,"C/ Picos, s/n 04004",Almería,Almería,,Andalucía,,,,,40.38,-3.86,,,,,,,,,,,,,,,,,,,,,2013-06-07 19:44:25
Banco de Tiempo Ciudad Jardín,,Asociación,Banco de tiempo - Municipal,C/ Monda 21,,C/ Monda 21 ,29014,C/ Monda 21 29014,Málaga,Málaga,,Andalucía,,,,,36.7403102,-4.4204944,,,,,,,,,,,,,,,,,,,,,2014-01-13 09:04:07
Banco de Tiempo Córdoba Acoge,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Músico Ziryab, 10",,"C/ Músico Ziryab, 10 ",14005,"C/ Músico Ziryab, 10 14005",Córdoba,Córdoba,,Andalucía,,,,,37.8861218,-4.7923983,957 230 838,,,bancodeltiempo@cordoba-acoge.com,,,,,,,,,,,,,,,,,2013-06-07 19:44:37
Banco de Tiempo de Abegondo,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,15318, 15318,Abegondo,A Coruña,,Galicia,,,,,43.2191196,-8.2979048,981 647 909,,,,,,,,,,,,,,,,,,,,2013-06-07 19:45:17
Banco de Tiempo de Alaró,,Grupo/colectivo,Banco de tiempo - Municipal,"Placeta Son Togores, 1",,"Placeta Son Togores, 1 ",07340,"Placeta Son Togores, 1 07340",Alaró,Baleares,,Islas Baleares,,,,,39.7077604,2.7895104,971 518 757,,,,,,,,,,,,,,,,,,,,2013-06-10 00:03:57
Banco de Tiempo de Albacete,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Arquitecto Vandelvira, 73",sala 4,"C/ Arquitecto Vandelvira, 73 sala 4",02003,"C/ Arquitecto Vandelvira, 73 sala 4 02003",Albacete,Albacete,,Castilla-La Mancha,,,,,38.9901709,-1.8661602,,,,bdtalbacete@gmail.com,,,,,,,,,,,,,,,,,2013-10-28 09:01:40
Banco de Tiempo de Alburquerque,,Grupo/colectivo,Banco de tiempo - Municipal,Apdo. de Correos 21,,Apdo. de Correos 21 ,06510,Apdo. de Correos 21 06510,Alburquerque,Badajoz,,Extremadura,,,,,38.9211919,-6.3373143,924 105 901 / 607 647 213,,,cala@nodo50.org,,,,,,,,,,,,,,,,,2013-06-09 23:50:14
Banco de Tiempo de Alcalá de Henares,,Grupo/colectivo,Banco de tiempo - Municipal,"Travesía de las Siete Esquinas, 2",,"Travesía de las Siete Esquinas, 2 ",28801,"Travesía de las Siete Esquinas, 2 28801",Alcalá de Henares,Madrid,,Comunidad de Madrid,,,,,40.4795438,-3.3676134,918 771 720 / 918 788 109,,,cmujeralcala@ayto-alcaladehenares.es,,,,,,,,,,,,,,,,,2013-06-07 19:45:44
Banco de Tiempo de Alcalá la Real,,Asociación,Banco de tiempo - Comunitario,Avda Iberoamérica s/n,Casa de la Juventud,Casa de la Juventud - Avda Iberoamérica s/n,23680,Casa de la Juventud - Avda Iberoamérica s/n 23680,Alcalá la Real,Jaén,Ciudad y pedanías,Andalucía,,,,Municipio,37.4547388,-3.9264281,,,,bancotiempoalcalareal@gmail.com,,,,2012,,"Asociación sin ánimo de lucro, cuya finalidad es promover el intercambio de tiempo entre personas asociadas. Creando redes de cooperación y ayuda mutua intervecinal.

Las actividades o intercambios no deberán nunca ser remuneradas económicamente, ni constituir relaciones de
trabajo, o ser consideradas como actividad económica o comercial alguna. 

Esta asociación constituida como banco de tiempo comunitario, no solicita ningún tipo de subvención. Por lo que es una asociación totalmente independiente y autogestionada.

Para información e inscripciones estamos disponibles en la casa de la Juventud, sala 3, todos los Miércoles de 18 a 20 horas. Te esperamos. ;)",,,,,,,,,,,2015-05-27 12:28:10
Banco de Tiempo de Alcañiz,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,,Teruel,,Castilla y León,,,,,40.341839,-1.103675,,,,,,,,,,,,,,,,,,,,,2013-06-07 19:46:26
Banco de Tiempo de Alcorcón,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Copenhague, 57",,"C/ Copenhague, 57 ",28922,"C/ Copenhague, 57 28922",Alcorcón,Madrid,,Comunidad de Madrid,,,,,40.3429393,-3.8462533,916 891 756 / 916 419 840,,,,,,,,,,,,,,,,,,,,2013-06-07 19:46:30
Banco de Tiempo de Alcosa,,Asamblea,Banco de tiempo - Comunitario,"Calle Pintor Alfonso Grosso, s/n.",Centro Civico Parque Alcosa,"Centro Civico Parque Alcosa - Calle Pintor Alfonso Grosso, s/n.",41019,"Centro Civico Parque Alcosa - Calle Pintor Alfonso Grosso, s/n. 41019",Sevilla,Sevilla,,Andalucía,,,,,37.411826,-5.9236711,627438035,,,contacto@btalcosa.com,,http://btalcosa.com/,,2013,,,,,,,,,,,,,2013-07-02 09:21:12
Banco de Tiempo de Aldea Bierzo,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Ángel Basante, 15, 2ª pl.",,"C/ Ángel Basante, 15, 2ª pl. ",24540,"C/ Ángel Basante, 15, 2ª pl. 24540",Cacabelos León,León,,Castilla y León,,,,,42.5987263,-5.5670959,987 549 359,,,aldeabierzo@hotmail.com,,,,,,,,,,,,,,,,,2013-06-07 19:46:37
Banco de Tiempo de Alfaz del Pi,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de Gabriel Miró, 3",,"C/ de Gabriel Miró, 3 ",,"C/ de Gabriel Miró, 3 ",,Alicante,,Comunidad Valenciana,,,,,38.3430705,-0.4847656,965887598 /  685 285 66,,,,,,,,,,,,,,,,,,,,2013-06-07 19:46:41
Banco de Tiempo de Algeciras,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de Regino Martínez, 3 - As. De Mujeres Progresistas",,"C/ de Regino Martínez, 3 - As. De Mujeres Progresistas ",11201,"C/ de Regino Martínez, 3 - As. De Mujeres Progresistas 11201",Algeciras,Cádiz,,Andalucía,,,,,36.1357631,-5.4397825,956 633 299,,,asociacion@ampvictoriakent.org,,,,,,,,,,,,,,,,,2013-06-07 19:46:48
Banco de Tiempo de Alhama de Murcia,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. de la Constitución, s/n",,"Pl. de la Constitución, s/n ",30840,"Pl. de la Constitución, s/n 30840",Alhama de Murcia,Murcia,,Región de Murcia,,,,,37.8513564,-1.4265832,968 630 000,,,,,,,,,,,,,,,,,,,,2013-06-07 19:46:53
Banco de Tiempo de Alhaurín de la Torre,,Asociación,Banco de tiempo - Comunitario,C/Caldera S/N,"Centro de Servicios Sociales Comunitarios, planta baja","Centro de Servicios Sociales Comunitarios, planta baja - C/Caldera S/N",29130,"Centro de Servicios Sociales Comunitarios, planta baja - C/Caldera S/N 29130",Alhaurín de la Torre,Málaga,,Andalucía,,,,,36.660677,-4.568914,603 421 747,,,bancodeltiempoalhaurintorre@gmail.com,,,,2012,,"Facebook (Me gusta): Banco del Tiempo Alhaurin de la Torre 

Horario de oficina --> LUNES DE 10:00H A 13:00H
",,,,,,,,,,,2013-12-19 11:47:30
Banco de Tiempo de Alicante,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Hércules, 28 - bajo",,"C/ Hércules, 28 - bajo ",03006,"C/ Hércules, 28 - bajo 03006",Alicante,Alicante,,Comunidad Valenciana,,,,,38.347014,-0.511628,965 259 460,,,banco.tiempo@alicante-ayto.es,,,,2000,,,,,,,,,,,,,2014-08-11 10:04:15
Banco de Tiempo de Aljarafe,,Asociación,Banco de tiempo - Municipal,Centro de Adultos. c/ de la Fuente s/n,,Centro de Adultos. c/ de la Fuente s/n ,41120,Centro de Adultos. c/ de la Fuente s/n 41120,Gelves,Sevilla,Aljarafe (Sevilla),Andalucía,Aljarafe,,,Barrio,37.3409234,-6.0262352,955 762 943/ 954 180 811 / 955 761 184,,,bancodeltiempoaljarafe@gmail.com,,,,2011,,"Asociación sin ánimo de lucro. El objetivo que persigue es facilitar e impulsar el conocimiento y contacto humano entre personas próximas por vecindad o comunidad de intereses, fomentando el espíritu altruista, la generosidad e interdependencia.",,,,,,,,,,,2013-10-15 17:52:31
Banco de Tiempo de Allariz,,Grupo/colectivo,Banco de tiempo - Municipal,"Rúa do Portelo, 4, baixo",,"Rúa do Portelo, 4, baixo ",32660,"Rúa do Portelo, 4, baixo 32660",Allariz,Ourense,,Galicia,,,,,42.1894665,-7.8005522,654 521 917 / 609 477 570,,,info@bancodetempodeallariz.org,,,,,,,,,,,,,,,,,2013-06-07 19:47:10
Banco de Tiempo de Almendralejo,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de Vistahermosa, 1A",,"C/ de Vistahermosa, 1A ",06200,"C/ de Vistahermosa, 1A 06200",Almendralejo,Badajoz,,Extremadura,,,,,38.6823707,-6.4014208,924 670 532 (ext. 232),,,bancodeltiempoalmendralejo@hispavista.com,,,,,,,,,,,,,,,,,2013-06-07 19:47:15
Banco de Tiempo de Almería,,Grupo/colectivo,Banco de tiempo - Municipal,"Calle Alcalde Muñoz,12",,"Calle Alcalde Muñoz,12 ",04007,"Calle Alcalde Muñoz,12 04007",Almeria,Almería,,Andalucía,,,,,36.8420358,-2.461659,950210073,,,bdtalmeria@gmail.com,,http://www.mujeralmeria.es/,,2012,,"Banco del tiempo gestionado por el area de políticas de Igualdad del Ayto. de Almería. 
www.mujeralmeria.es",,,,,,,,,,,2013-06-17 09:26:59
Banco de Tiempo de Alora,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. de la Fuente Arriba, s/n",,"Pl. de la Fuente Arriba, s/n ",29500,"Pl. de la Fuente Arriba, s/n 29500",Alora,Málaga,,Andalucía,,,,,36.8229926,-4.7066498,951 0662 138,,,,,,,,,,,,,,,,,,,,2013-06-07 19:47:26
Banco de Tiempo de Altea,,Asamblea,Banco de tiempo - Comunitario,,, ,03590, 03590,Altea,Alicante,,Comunidad Valenciana,,,,,38.6021629,-0.0476697,659 75 11 51,,,bancodeltiempoaltea@gmail.com,silviagranda@hotmail.com,,,2013,,,,,,,,,,,,,2013-10-15 17:45:06
Banco de Tiempo de Antequera,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Mesones, 5 Bjos.",,"C/ Mesones, 5 Bjos. ",29200,"C/ Mesones, 5 Bjos. 29200",Antequera,Málaga,,Andalucía,,,,,37.020001,-4.5593676,952 739 695,,,bancodetiempodeantequera@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 19:45:00
Banco de Tiempo de Añover de Tajo,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Coronel Monasterio, 1 - Centro Social Polivalente",,"C/ Coronel Monasterio, 1 - Centro Social Polivalente ",45250,"C/ Coronel Monasterio, 1 - Centro Social Polivalente 45250",Añover de Tajo,Toledo,,Castilla-La Mancha,,,,,39.9894861,-3.7663657,925 555 288,,,pilar.apinaniz@anoverdetajo.es,,,,,,,,,,,,,,,,,2013-06-07 19:47:46
Banco de Tiempo de Argamasilla de Alba,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ del Alcázar, 67",,"C/ del Alcázar, 67 ",13710,"C/ del Alcázar, 67 13710",Argamasilla de Alba,Ciudad Real,,Castilla-La Mancha,,,,,39.1329574,-3.0929671,693 416 299,,,,,,,,,,,,,,,,,,,,2013-06-07 19:49:05
Banco de Tiempo de Armilla,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Fernando Martín, s/n",,"C/ Fernando Martín, s/n ",18100,"C/ Fernando Martín, s/n 18100",Armilla,Granada,,Andalucía,,,,,37.1439159,-3.6254529,958 578 905-08,,,bancodeltiempo@ayuntamientodearmilla.com,,,,,,,,,,,,,,,,,2013-06-07 19:49:12
Banco de Tiempo de Arriate,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de los cordones, 4",,"C/ de los cordones, 4 ",29350,"C/ de los cordones, 4 29350",Arriate,Málaga,,Andalucía,,,,,36.798816,-5.1420484,952 165 100 / 670 358 402,,,truekate@arriate.es,,,,,,,,,,,,,,,,,2013-06-07 19:49:15
Banco de Tiempo de Arucas,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,35004, 35004,Las Palmas De Gran Canaria,Las Palmas,,Canarias,,,,,28.1157451,-15.4229159,601 948 / 928 622 448,,,mujer@arucas.org,,,,,,,,,,,,,,,,,2013-06-07 19:49:19
Banco de Tiempo de Arzua,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,15810, 15810,Arzua,A Coruña,,Galicia,,,,,42.9296884,-8.1607836,981 500 000,,,,,,,,,,,,,,,,,,,,2013-06-07 19:49:23
Banco de Tiempo de Ávila,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Cardenal Pla  Deniel, 6",,"C/ Cardenal Pla  Deniel, 6 ",05001,"C/ Cardenal Pla Deniel, 6 05001",Ávila,Ávila,,Castilla y León,,,,,40.6547782,-4.6995589, 920 354 000 ext.870,,,bancotiempoavila@gmail.com,,,http://avilajoven.blogspot.com.es/,,,,,,,,,,,,,,2014-04-30 08:06:10
Banco de Tiempo de Avilés,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Sabino Álvarez Gendín, 26 bjo.",,"C/ Sabino Álvarez Gendín, 26 bjo. ",33402,"C/ Sabino Álvarez Gendín, 26 bjo. 33402",Avilés,Asturias,,Principado de Asturias,,,,,43.5484209,-5.9280628,985 129 098,,,bancodeltiempo@ayto-aviles.es,,,,,,,,,,,,,,,,,2013-06-07 19:49:30
Banco de Tiempo de Badía del Vallés,,Grupo/colectivo,Banco de tiempo - Municipal,"Av. Burgos, 18",,"Av. Burgos, 18 ",08214,"Av. Burgos, 18 08214",Badía Del Vallés,Barcelona,,Cataluña,,,,,41.5082576,2.1162632,,,,bancotiempobadia@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 19:49:33
Banco de Tiempo de Bailén Miraflores,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Sevilla, 8",,"C/ Sevilla, 8 ",29012,"C/ Sevilla, 8 29012",Málaga,Málaga,,Andalucía,,,,,36.7240955,-4.429548,952 300 500,,,,,,,,,,,,,,,,,,,,2013-06-07 19:49:37
Banco de Tiempo de Balmaseda,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Balmaseda,Vizcaya,,País Vasco,,,,,43.19329,-3.195521,946 800 000,,,leticia@balmaseda.net,,,,,,,,,,,,,,,,,2013-06-07 19:49:40
Banco de Tiempo de Barakaldo,,Grupo/colectivo,Banco de tiempo - Municipal,"c/ Gernikako Arbola, 41",Centro Cívico Clara Campoamor,"Centro Cívico Clara Campoamor - c/ Gernikako Arbola, 41",48902,"Centro Cívico Clara Campoamor - c/ Gernikako Arbola, 41 48902",Barakaldo,Vizcaya,,País Vasco,,,,,43.2939031,-2.9950747,94.478.94.50,,,bdtbarakaldo@barakaldo.org,,,,2013,,"El Banco de Tiempo de Barakaldo está abierto a todas las personas vecinas del municipio. 
Las personas que tengan interés en participar en el Banco de Tiempo, se han de acercar a la secretaría del banco sita en el Centro Cívico Clara Campoamor dónde podrán realizar la inscripción. El horario de atención: lunes de 17h00 a 20h00 y viernes de 10h00 a 13h00.",,,,,,,,,,,2014-05-19 22:49:57
Banco de Tiempo de Benalmádena,,Grupo/colectivo,Banco de tiempo - Municipal,C/ Amapola,Espacio Joven ,Espacio Joven  - C/ Amapola,,Espacio Joven - C/ Amapola ,Benalmádena,Málaga,,Andalucía,,,,,36.5955521,-4.5740003,,,,,,,,,,,,,,,,,,,,,2013-06-09 23:47:08
Banco de Tiempo de Bilbao - Barrios Altos,,Grupo/colectivo,Banco de tiempo - Municipal,"Plaza del Corazón de María, 5",,"Plaza del Corazón de María, 5 ",48003,"Plaza del Corazón de María, 5 48003",Bilbao,Vizcaya,,País Vasco,,,,,43.2564038,-2.9274615,944 168 571,,,,,,,,,,,,,,,,,,,,2013-06-07 19:50:46
Banco de Tiempo de Bolullos del Condado,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. Sagrado Corazón de Jesús, 1",,"Pl. Sagrado Corazón de Jesús, 1 ",21710,"Pl. Sagrado Corazón de Jesús, 1 21710",Bolullos Par del Condado,Huelva,,Andalucía,,,,,37.3359073,-6.5353342,959 412 094,,,,,,,,,,,,,,,,,,,,2013-06-07 19:50:56
Banco de Tiempo de Bon Pastor,,Grupo/colectivo,Banco de tiempo - Municipal,"Plça. Robert Gerhard, 3 - Centre Cívic del Bon Pastor",,"Plça. Robert Gerhard, 3 - Centre Cívic del Bon Pastor ",08030,"Plça. Robert Gerhard, 3 - Centre Cívic del Bon Pastor 08030",Barcelona,Barcelona,,Cataluña,,,,,41.4347168,2.2050022,933 147 947,,,bancdeltempsbonpastor@yahoo.es,,,,,,,,,,,,,,,,,2013-06-07 19:50:59
Banco de Tiempo de Borriana -  Les Alqueries,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Burriana,Castellón,,Comunidad Valenciana,,,,,39.8895586,-0.0842113,35 324 110,,,bdt.burriana.alquerias@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 19:51:07
Banco de Tiempo de Burgos,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,,Burgos,,Castilla y León,,,,,42.3439925,-3.696906,646 211 010,,,mariapilar21@hotmail.com,,,,,,,,,,,,,,,,,2013-06-07 19:51:21
Banco de Tiempo de Butroi Bizirik en Transición - en Denbora Bankua,,Asociación,Banco de tiempo - Comunitario,"Ibaigane Kalea, 10",,"Ibaigane Kalea, 10 ",48100,"Ibaigane Kalea, 10 48100",Mungia,Vizcaya,Uribe-Butroi,País Vasco,,,,,43.3553721,-2.8495817,94-6020636,,,bbteimpo@gmail.com,butroientransicion@gmail.com,http://www.butroientransicion.org/,,2012,,"Butroi Bizirik en Transición (BBT) es un movimiento de Transición*  en Uribe Butroi, abierto, comunitario y local, en continuo cambio y aprendizaje, que trabaja para la transformación personal y social orientada hacia el bien común y la soberanía tanto alimentaria, energética, tecnológica, como económica, en donde todas estas se desarrollen en armonía con la naturaleza. 
Deseamos recuperar la economía con formas de vida local, ética, justa, solidaria y ecológica. Queremos que lo que es deseable social y medioambientalmente sea viable económicamente.
*Transición: Es un movimiento de carácter mundial https://www.transitionnetwork.org/ 
",,,,,,,,,,,2015-02-24 11:58:12
Banco de Tiempo de Cabra ,Banco del Tiempo de Cabra: ofrece lo que puedas y recibe lo que necesitas.,Centro social,Banco de tiempo - Municipal,C/ Priego nº 28 ,,C/ Priego nº 28  ,14940,C/ Priego nº 28 14940,Cabra,Córdoba,Pueblo,Andalucía,,,,Municipio,37.4701782,-4.4423885,957524710,902002785,957523547,bancodeltiempocabra@gmail.com,lydia.aguilera@grupoineprodes.com,,http://bancodeltiempocabra.blogspot.com.es/,2013,,"El Banco del Tiempo de Cabra es un servicio municipal gratuito y sin ánimo de lucro. Dependiente del Patronato Municipal de Bienestar Social del Ilmo. Ayuntamiento de Cabra y gestionado en colaboración con la Fundación Grupo INEPRODES.
Todas las personas tienen valor y mucho que ofrecer, por ello todos/as podemos participar, lo importante es poder ofrecer algo de tiempo libre.
 ",,,,,,,,,,,2014-04-08 09:02:17
Banco de Tiempo de Cáceres,,Grupo/colectivo,Banco de tiempo - Municipal,"Pl. Mayor, 30, 31 dcha.",,"Pl. Mayor, 30, 31 dcha. ",10003,"Pl. Mayor, 30, 31 dcha. 10003",Cáceres,Cáceres,,Extremadura,,,,,39.471329,-6.370961,927 245 772 / 608 445 910,,,bancodeltiempo@fic07.eu,,,,,,,,,,,,,,,,,2013-06-07 19:51:33
Banco de Tiempo de Cádiz,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Cádiz,Cádiz,,Andalucía,,,,,36.5270612,-6.2885962,636 235 885,,,vendanki@hotmail.com,,,,,,,,,,,,,,,,,2013-06-07 19:51:38
Banco de Tiempo de Calahorra,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de Miguel de Cervantes, 1",,"C/ de Miguel de Cervantes, 1 ",26500,"C/ de Miguel de Cervantes, 1 26500",Calahorra,La Rioja,,La Rioja,,,,,42.3021975,-1.9645412,941 147 746 / 667 463 791,,,bancodeltiempo@consejojuventudcalahorra.com,,,,,,,,,,,,,,,,,2013-06-07 19:52:21
Banco de Tiempo de Cambrils,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Sant Pere, 33",,"C/ Sant Pere, 33 ",43850,"C/ Sant Pere, 33 43850",Cambrils,Tarragona,,Cataluña,,,,,41.0684259,1.0616035,977 368 217,,,bancdeltemps@cambrilsciutat.org,,,,,,,,,,,,,,,,,2013-06-07 19:52:34
Banco de Tiempo de Can Baró,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Josep Serrano, 59-71",Casal Pirineu,"Casal Pirineu - C/ Josep Serrano, 59-71",08024,"Casal Pirineu - C/ Josep Serrano, 59-71 08024",Barcelona,Barcelona,,Cataluña,,,,,41.4171137,2.1620688,932 199 224,,,,,,,,,,,,,,,,,,,,2013-06-09 23:10:09
Banco de Tiempo de Carabanchel,,Grupo/colectivo,Banco de tiempo - Municipal,,, ,, ,Madrid,Madrid,,Comunidad de Madrid,,,,,40.4167754,-3.7037902,,,,bancotiempocarabanchel@gmail.com,,,,,,,,,,,,,,,,,2013-06-07 19:52:47
Banco de Tiempo de Carabanchel y Usera - CAF3,,Grupo/colectivo,Banco de tiempo - Municipal,"Avenida Rafaela Ybarra, 41",Junta Municipal Distrito Usera,"Junta Municipal Distrito Usera - Avenida Rafaela Ybarra, 41",28026,"Junta Municipal Distrito Usera - Avenida Rafaela Ybarra, 41 28026",Madrid,Madrid,,Comunidad de Madrid,,,,,40.3824183,-3.7107441,914 632 342,,914 638 644,caf-3@madrid.es,,,,,,,,,,,,,,,,,2015-06-16 11:31:02
"Banco de Tiempo de Centro, Arganzuela, Chamberí y Moncloa-Aravaca - CAF1",,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Rafael Calvo, 8",,"C/ Rafael Calvo, 8 ",28010,"C/ Rafael Calvo, 8 28010",Madrid,Madrid,,Comunidad de Madrid,,,,,40.4336025,-3.6966301,915 061 860,914 675 873,,caf-1@madrid.es,,,,,,,,,,,,,,,,,2014-03-31 09:27:41
Banco de Tiempo de Cerdanyola del Vallés,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ de la Indústria, s/n",L'Ateneu ,"L'Ateneu  - C/ de la Indústria, s/n",08290,"L'Ateneu - C/ de la Indústria, s/n 08290",Cerdanyola Del Valles,Barcelona,,Cataluña,,,,,41.487779,2.1374819,935 914 133,,,bancdeltemps@cerdanyola.cat,,,,,,,,,,,,,,,,,2013-06-09 23:11:48
